1995,38609399
1996,38639341
1997,38659979
1998,38666983
1999,38263303
2000,38253955
2001,38242197
2002,38218531
2003,38190608
2004,38173835
2005,38157055
2006,38125479
2007,38115641
2008,38135876
2009,38167329
2010,38529866
2011,38538447
2012,38533299
